tool	url	doi
tabix	https://github.com/samtools/htslib	--
galaxy_sequence_utils	https://github.com/galaxyproject/sequence_utils	--
prodigal	http://prodigal.ornl.gov/	--
python	https://www.python.org/	--
trim-galore	https://github.com/FelixKrueger/TrimGalore	--
fast5	https://github.com/mateidavid/fast5	--
dendropy	https://github.com/jeetsukumaran/DendroPy	--
easydev	https://github.com/cokelaer/easydev	--
platypus-variant	https://github.com/andyrimmer/Platypus	--
barrnap	https://github.com/tseemann/barrnap	--
matplotlib	https://github.com/matplotlib/matplotlib	--
fastp	https://github.com/OpenGene/fastp/	--
pbalign	https://github.com/PacificBiosciences/pbalign	--
pbh5tools	https://github.com/PacificBiosciences/pbh5tools	--
openslide	https://github.com/openslide/openslide	--
cd-hit	https://github.com/weizhongli/cdhit	--
graphlan	https://github.com/biobakery/graphlan	--
gubbins	https://github.com/sanger-pathogens/gubbins	--
kissplice	http://kissplice.prabi.fr/	--
tpp	https://bioconductor.org/packages/TPP/	--
transdecoder	https://github.com/TransDecoder/TransDecoder	--
porechop	https://github.com/rrwick/Porechop	--
progressivemauve	http://darlinglab.org/mauve/user-guide/progressivemauve.html	--
snp-sites	https://github.com/sanger-pathogens/snp-sites	--
cat	https://github.com/dutilh/CAT	--
bx-python	https://github.com/bxlab/bx-python	--
ariba	https://github.com/sanger-pathogens/ariba	--
aragorn	http://mbio-serv2.mbioekol.lu.se/ARAGORN/	--
autodock-vina	http://vina.scripps.edu/	--
assemblytics	http://assemblytics.com/	--
baitfisher	https://github.com/cmayer/BaitFisher-package	--
coreutils	https://github.com/coreutils/coreutils	--
miniasm	https://github.com/lh3/miniasm	--
bwameth	https://github.com/brentp/bwa-meth	--
qcumber	https://gitlab.com/RKIBioinformaticsPipelines/QCumber	--
soapaligner	http://soap.genomics.org.cn/soapaligner.html	--
delly	https://github.com/dellytools/delly	--
clustalo	http://www.clustal.org/omega/	--
freebayes	https://github.com/ekg/freebayes	--
cwltool	https://github.com/common-workflow-language/common-workflow-language	--
cogent	https://github.com/pycogent/pycogent	--
cassiopee	https://github.com/osallou/cassiopee-c	--
codonw	http://codonw.sourceforge.net	--
clearcut	http://bioinformatics.hungry.com/clearcut/	--
changeo	https://bitbucket.org/kleinstein/changeo/	--
fastahack	https://github.com/ekg/fastahack	--
dascrubber	https://github.com/thegenemyers/DASCRUBBER	--
dawg	https://github.com/reedacartwright/dawg	--
dcmtk	https://github.com/DCMTK/dcmtk	--
figtree	https://github.com/rambaut/figtree	--
dwgsim	https://github.com/nh13/DWGSIM/	--
ecopcr	https://git.metabarcoding.org/obitools/ecopcr	--
estscan	http://myhits.isb-sib.ch/cgi-bin/estscan	--
edlib	https://github.com/Martinsos/edlib	--
infernal	https://github.com/EddyRivasLab/infernal	--
gffutils	https://github.com/daler/gffutils	--
ghmm	https://ghmm.org	--
grabix	https://github.com/arq5x/grabix	--
hhsuite	https://toolkit.tuebingen.mpg.de/	--
king	http://kinemage.biochem.duke.edu/software/king.php	--
lefse	https://bitbucket.org/nsegata/lefse	--
mhap	https://github.com/marbl/MHAP	--
minimap	https://github.com/lh3/minimap	--
pbcommand	https://github.com/PacificBiosciences/pbbioconda	--
pirs	https://github.com/galaxy001/pirs	--
piler	http://www.drive5.com/piler/	--
pbdagcon	https://github.com/PacificBiosciences/pbdagcon	--
pbcore	https://github.com/PacificBiosciences/pbbioconda	--
parafly	http://parafly.sourceforge.net	--
racon	https://github.com/isovic/racon	--
parsnp	https://github.com/marbl/parsnp	--
phipack	http://www.maths.otago.ac.nz/~dbryant/software/phimanual.pdf	--
srst2	https://github.com/katholt/srst2	--
poa	http://poamsa.sourceforge.net/	--
scrm	https://github.com/scrm/scrm	--
screed	https://screed.readthedocs.org	--
sumaclust	http://metabarcoding.org/sumaclust	--
squizz	ftp://ftp.pasteur.fr/pub/gensoft/projects/squizz/	--
sim4db	http://kmer.sourceforge.net	--
sprai	http://zombie.cb.k.u-tokyo.ac.jp/sprai/index.html	--
sickle	https://github.com/najoshi/sickle	--
transrate-tools	https://github.com/Blahah/transrate	--
pymummer	https://github.com/sanger-pathogens/pymummer	--
yaggo	https://github.com/gmarcais/yaggo	--
rdp-readseq	https://github.com/rdpstaff/ReadSeq	--
snap-aligner	https://github.com/amplab/snap	--
qcli	https://pypi.org/project/qcli/	--
snpomatic	https://github.com/magnusmanske/snpomatic	--
schema-salad	https://github.com/common-workflow-language/common-workflow-language	--
pynast	https://github.com/biocore/qiime	--
treetime	https://github.com/neherlab/treetime	--
transtermhp	http://transterm.cbcb.umd.edu/	--
salmid	https://github.com/hcdenbakker/SalmID	--
pyqi	https://pypi.python.org/pypi/pyqi/	--
seqmagick	http://github.com/fhcrc/seqmagick	--
quorum	https://github.com/gmarcais/Quorum	--
sqt	https://bitbucket.org/marcelm/sqt	--
biowdl-input-converter	https://github.com/biowdl/biowdl-input-converter	--
nanoplot	https://github.com/wdecoster/NanoPlot	--
lofreq	https://sourceforge.net/projects/lofreq/	--
crossmap	http://crossmap.sourceforge.net	--
hyphy	https://github.com/veg/hyphy	--
abricate	https://github.com/tseemann/abricate	--
python-bioext	https://github.com/veg/BioExt.git	--
repeatmasker	http://www.repeatmasker.org	--
moabs	https://code.google.com/archive/p/moabs/	--
maxbin2	https://sourceforgenet/projects/maxbin2/	--
star-fusion	https://github.com/STAR-Fusion/STAR-Fusion	--
sickle-trim	https://github.com/najoshi/sickle	--
shovill	https://github.com/tseemann/shovill	--
tb_variant_filter	http://github.com/COMBAT-TB/tb_variant_filter	--
gvcftools	https://github.com/sequencing/gvcftools	--
krocus	https://github.com/andrewjpage/krocus	--
ucsc-fasplit	http://hgdownload.cse.ucsc.edu/admin/exe/macOSX.x86_64/faSplit	--
