2pg_cartesian	14154	
a5-miseq	6128	Genome, Bacterial,Genomics,Programming Languages,Sequence Analysis, DNA,Sequence assembly
abacas	16368	biology,bioinformatics,perl,commandline,text-mode,program,utility,Genomics
abacat	690	Genomics,Whole genome sequencing
abawaca	6688	Bacteria,Environmental Microbiology,Genome, Bacterial,Introns,Phylogeny,RNA, Ribosomal, 16S,Ribosomal Proteins,Genomics,Metagenomics
abeona	411720	RNA-Seq,Transcriptome,Transcriptomics
abnumber	1090	Antibodies,Computational Biology,Humans,Immunoglobulin Variable Region,Models, Molecular,Receptors, Antigen, T-Cell,Proteomics,Protein structure analysis
abpoa	14576	Sequence Alignment
abra2	7176	DNA,High-Throughput Nucleotide Sequencing,Humans,INDEL Mutation,RNA,Sequence Analysis, DNA
abricate	706441	
abritamr	670	Genomics
abruijn	2492	Metagenome
abundancebin	111223	
abyss	2355260	biology,c,commandline,program,Contig Mapping,Genome Size,Genomics,Humans,Sequence Analysis, DNA,Sequence assembly,RNA-Seq,Sequence Alignment,Transcriptome,Transcriptomics
abyss-k128	21600	Contig Mapping,Genome Size,Genomics,Humans,Sequence Analysis, DNA,RNA-Seq,Sequence Alignment,Transcriptome,Transcriptomics
ac	1645	Amino Acid Sequence,Data Compression,High-Throughput Nucleotide Sequencing,Markov Chains
ac-diamond	7875	
acedb-other	7893	biology,bioinformatics,commandline,program,utility
acedb-other-belvu	7921	graphical,x11,program,gtk,ncurses,application
acedb-other-dotter	7858	graphical,x11,program,gtk,ncurses,application
adam	102753	Simulation experiment,Genomics
adapt	463	Clustering,Genomics
adapterremoval	73662	Computational Biology,Genomics,MicroRNAs,RNA,RNA Interference,Sequence Analysis, RNA,Workflows
adapterremovalfixprefix	32484	
addrg	31561	
admixtools	22285	Continental Population Groups,Ethnic Groups,Evolution, Molecular,Gene Flow,Genetics, Population,Humans,Hybridization, Genetic,Internet,Models, Genetic,Polymorphism, Single Nucleotide,Population genetics
admixture	4573	Europe,Gene Frequency,Genetic Association Studies,Genetics, Population,Genotype,Humans,Inflammatory Bowel Diseases,Jews,Likelihood Functions,Models, Genetic,Polymorphism, Single Nucleotide,Time Factors,Computational Biology,Population genetics
adpred	1117	Protein Sequences
adun-core	7869	
adun.app	7866	biology,structural,objc,graphical,x11,program,application,gnustep,gnustep,todo,analysing,organizing,viewing,3dmodel,db,application
advntr	571930	Genomics
aegean	8253	biology,bioinformatics,c,commandline,program,analysing,comparing,converting
aenum	309819	
aeskulap	7870	biology,medicine,imaging,c++,graphical,x11,client,program,application,gtk,viewing,image,application
aevol	7880	graphical,x11,program,Genomics,Gene Expression,Genetics,Transcriptome,Transcriptomics
afplot	18104	
afterqc	14091	Amino Acid Sequence,DNA,DNA Mismatch Repair,Databases, Genetic,High-Throughput Nucleotide Sequencing,Humans,Quality Control,Sequence Analysis, DNA
agat	8953	Genomics,Transcriptome,Transcriptomics
age-metasv	45252	
agfusion	98576	Genomics,RNA-Seq,Protein Sequences,Transcriptomics
agg	15700	
aghermann	7863	medicine,graphical,x11,program,gtk,analysing,application
airr	3770	
akt	15521	Cluster Analysis,Family,Female,Genome, Human,Humans,Male,Pedigree,Phylogeny,Sequence Analysis, DNA,Genetics,Genomics
albatradis	66818	Genomics
alder	4458	Africa, Central,Human Migration,Humans,Italy,Japan,Linkage Disequilibrium,Models, Genetic,Phylogeny,Population,Population Groups,Population genetics,Genetics,Genomics
ale	12893	Age Factors,Animals,Automation,Databases, Genetic,Female,Gene Expression,Gene Ontology,Humans,Machine Learning,Male,Metadata,Middle Aged,Molecular Sequence Annotation,Rats,Reference Standards,Data acquisition,Gene expression,Transcriptomics
aletsch	4390	RNA-Seq,Transcriptome,Transcriptomics
alevin-fry	383	RNA-Seq,Transcriptomics
alfred	717872	Data Accuracy,High-Throughput Nucleotide Sequencing,Quality Control,Sequence analysis,Genetics,Bioinformatics,Genomics
alien-hunter	7843	biology,structural,java,perl,commandline,program,utility,analysing
align_it	43197	
alignlib-lite	287406	Sequence Alignment,Protein Sequences
alignstats	58571	Sequence Alignment
aliscore	46	genomics,Genomics,Phylogenetics,Sequence Alignment,Genetics
allegro	12964	3' Untranslated Regions,Animals,Cell Cycle,Gene Expression Profiling,Gene Expression Regulation,Humans,Mice,MicroRNAs,Mitogen-Activated Protein Kinases,Promoter Regions, Genetic,Saccharomyces cerevisiae,Saccharomyces cerevisiae Proteins,Sequence Analysis, DNA,Sequence Analysis, RNA,Stem Cells,Transcription Factors,Sequence analysis,Transcription factors and regulatory sites,DNA
altamisa	3457	
alter-sequence-alignment	7868	Internet,Sequence Alignment,Sequence Analysis, DNA,Sequence Analysis, Protein,Phylogenetics,Genetics,Genomics
altree	8127	perl,library,biology,bioinformatics,c,commandline,devel-lib,program,shared-lib,utility,analysing,comparing,todo,plaintext,Computational Biology,Genetic Diseases, Inborn,Genetic Predisposition to Disease,Genetics, Population,Haplotypes,Humans,Models, Genetic,Models, Statistical,Phylogeny,Programming Languages
amap	4058	Amino Acid Sequence,Molecular Sequence Data,Proteins,Sequence Alignment,Sequence Analysis, Protein,RNA-Seq,Transcriptomics
amap-align	7846	biology,bioinformatics,c++,commandline,program,utility,analysing,comparing,plaintext,todo
amas	2335	Phylogenomics,Phylogenetics,Sequence analysis,Statistics and probability,Sequence Alignment,Protein Sequences
